geohash,avgtimetopark
c3rrgj9,4.467
c3rpyt7,5.322
c3rrb6r,4.481
c3x0qrd,6.628
c3x2945,3.55
c3x2bjd,3.242
c3x0pm8,4.656
c3x2960,6.261
c3x270m,2.989
c3x0qqj,4.389
c3x238p,5.656
c3x31ku,5.589
c3x2648,3.706
c3x0x9x,4.178
c3x0qyc,5.056
c3x2cme,4.5
c3x233s,5.375
c3x24q4,5.5
c3x2577,4.914
c3x28u1,5.364
c3x2c6d,8.492
c3x2cfk,6.342
c3x2e49,6.094
c3x29v4,3.206
c3x0z5t,8.031
c3rpzdz,5.336
c3rpyvr,2.697
c3x2c23,2.383
c3x0x6v,6.078
c3x24u7,3.878
c3x0zjn,4.428
c3x2g04,3.725
c3x28zf,5.772
c3x29s1,6.481
c3x28kr,3.839
c3rpybw,4.094
c3x2fw0,3.211
c3x287s,7.567
c3x0p7c,4.192
c3x2h0d,4.586
c3x288q,4.178
c3x2745,4.594
c3x0tfn,4.147
c3x25nc,3.744
c3x28s1,3.75
c3x0w1p,3.45
c3x2e48,4.931
c3x0phj,2.944
c3x20fm,5.958
c3x22yy,6.814
c3x291u,6.808
c3x24gj,1.938
c3x28kq,8.172
c3x0ztp,4.122
c3x2cu1,4.272
c3x29ku,4.439
c3x2g87,4.953
c3x2958,6.169
c3x2cmj,6.311
c3x22bm,4.972
c3x2cu2,3.975
c3rrcv4,3.614
c3x23nz,5.328
c3x2cwf,3.147
c3x358c,3.519
c3x23qc,4.897
c3x0qre,5.722
c3x0zhw,5.289
c3x28fu,6.586
c3x0xxv,6.433
c3x0z0m,6.794
c3x2hpg,6.192
c3rpzjt,4.033
c3x22zt,9.283
c3x2gcv,1.994
c3x0z03,5.161
c3x2h5r,4.403
c3x29ev,3.55
c3rpz0e,6.983
c3x23rs,3.011
c3x0sd1,1.614
c3x316w,3.692
c3x0px0,7.078
c3x354t,3.739
c3rrcyv,3.947
c3x28sn,4.742
c3x28ez,4.406
c3x24u5,5.653
c3rrb6k,3.725
c3x28dr,4.853
c3x2gzx,4.203
c3rrbkm,2.578
c3x28fn,5.597
c3x0qe2,3.383
c3x0qr9,5.394
c3x0nb4,6.175
c3x2bq1,3.05
c3x294j,5.831
c3x2gmx,6.664
c3x297k,6.922
c3x2ghk,2.75
c3x21sg,5.464
c3x29md,5.011
c3x0zk7,3.925
c3x2g20,2.328
c3x2552,4.3
c3x2755,5.717
c3rpzf1,2.536
c3x213t,2.883
c3x269b,5.908
c3x0tfp,4.925
c3x21r3,4.356
c3x22x2,8.321
c3x25pg,5.033
c3x23ry,6.017
c3x23qk,4.974
c3x28gx,5.138
c3x0pfb,4.66
c3x291q,4.698
c3x2bq4,4.781
c3x295k,4.75
c3x23q2,6.741
c3x0q7u,3.236
c3x297u,6.162
c3x28s2,4.695
c3x287n,6.864
c3rrft8,4.976
c3x21c1,2.448
c3x29n6,4.129
c3rpyf8,3.979
c3x21rd,2.402
c3x29v7,5.307
c3x2f2y,5.648
c3x0z6n,6.805
c3x28f7,5.95
c3x24gu,3.924
c3x2fg9,5.014
c3x2553,3.336
c3x232b,4.776
c3x0qxb,4.919
c3x21fc,2.919
c3x29kz,3.843
c3x26d4,6.743
c3x239q,3.307
c3x2fut,4.467
c3x0wem,4.538
c3x2dz3,6.267
c3x2gjm,4.998
c3x216y,3.093
c3x21w7,6.483
c3x2e1q,3.962
c3x297b,10.483
c3x34t0,8.076
c3x28du,5.917
c3x312y,5.538
c3x22j6,8.264
c3x34m0,5.005
c3x2fdb,3.676
c3x2ght,7.419
c3x288g,3.988
c3x30bk,3.55
c3x26zv,2.879
c3x22wd,6.226
c3x2hqb,4.086
c3x0nvx,4.657
c3x29kd,3.017
c3rpz6t,2.333
c3x2h70,4.136
c3x2fe6,3.331
c3x22yf,6.788
c3x2884,5.745
c3x316x,3.95
c3rpyxy,7.61
c3x0qrp,3.4
c3x2929,4.781
c3x0j3g,3.305
c3x28ec,6.095
c3x213m,4.393
c3x28em,4.362
c3x0wk9,4.345
c3x26f0,2.683
c3x28en,5.821
c3x0jrt,3.683
c3x0qrw,2.643
c3x306b,3.355
c3x219c,3.624
c3x0zdg,4.162
c3x295d,6.531
c3x2dfs,6.374
c3x2bms,3.048
c3x0xqj,3.662
c3x29cn,5.402
c3x0j3f,3.745
c3rpzpb,3.379
c3x25hb,4.924
c3x2e1k,3.491
c3x296f,6.612
c3x2b2q,6.371
c3x2g0m,5.407
c3x0wmv,5.098
c3x0wte,5.888
c3x28ge,3.479
c3x20fv,6.357
c3x313x,5.645
c3x27n3,3.023
c3x2gj7,3.021
c3x0pmb,4.248
c3x0wsf,4.096
c3rrct2,5.344
c3x0m3r,7.046
c3x28ds,4.469
c3x286z,3.527
c3x0jzu,3.179
c3x2gmv,3.617
c3x2fqn,3.229
c3x291b,6.321
c3rrfgr,6.317
c3x2gp5,4.81
c3rpzen,3.565
c3rpyf9,3.506
c3x27p6,5.494
c3x0ze5,5.713
c3x2fmx,4.667
c3x22y9,3.896
c3x23mf,3.815
c3x0tun,3.108
c3x28sp,5.181
c3rpyqh,3.813
c3x23ne,3.967
c3x274d,6.31
c3x233d,4.979
c3x0yve,2.798
c3x0zkk,4.429
c3x0q76,6.91
c3x23nw,5.106
c3x30ge,3.029
c3x23q9,6.067
c3rrb6z,3.888
c3x305p,4.558
c3rrctm,4.754
c3x0vfz,8.225
c3x2ghv,3.531
c3rpyzd,6.163
c3x297g,7.494
c3rrctv,4.8
c3x28fy,5.023
c3x2eq4,9.923
c3x0w6k,3.794
c3x23td,3.665
c3x354w,4.044
c3x294w,5.483
c3x270h,4.319
c3x3075,5.946
c3x0w0k,1.531
c3rpyqq,2.363
c3x28ck,3.819
c3x0v5u,5.044
c3x29nu,5.146
c3rpyzt,4.16
c3x2043,4.079
c3x275d,5.175
c3rrc4f,3.438
c3x0mbz,7.815
c3x20gj,4.202
c3x0mr2,7.656
c3x28dd,4.596
c3x2c2v,2.648
c3x2951,5.033
c3x0yef,4.656
c3x24wj,7.115
c3x29k5,6.594
c3x2e4k,5.438
c3x2gjc,4.633
c3x295x,5.669
c3x297q,9.227
c3x0rs4,7.233
c3x290k,5.056
c3x0pfc,7.665
c3x23re,3.235
c3x21nw,4.015
c3x288s,4.042
c3x357d,4.354
c3x0xp0,5.952
c3x24qt,7.117
c3x22yq,3.458
c3x0s86,5.748
c3x22z6,8.035
c3x0ruj,5.638
c3x237h,6.083
c3x26k4,4.269
c3x28ft,4.883
c3x28dv,7.29
c3x22yb,6.517
c3x22wz,5.133
c3x0wtk,5.924
c3x0wy5,3.028
c3x2270,5.817
c3x2bm8,5.837
c3x28dg,5.519
c3rrgn6,4.493
c3x2gnn,3.72
c3x22yg,6.452
c3rpz1j,6.011
c3x23hy,3.713
c3x0xrm,3.854
c3x0qx6,7.032
c3x264p,7.752
c3x2d9t,3.143
c3x0w6g,4.565
c3x0mjz,3.624
c3x270w,4.056
c3x23xb,5.704
c3x28fr,3.643
c3x26t4,8.683
c3x22yd,4.333
c3x2c05,4.528
c3x21m7,4.706
c3x24ge,6.324
c3x3569,4.937
c3x29nc,2.717
c3x21t7,4.069
c3x0w6h,3.507
c3x29wc,3.33
c3x29jz,4.756
c3x0qxd,4.15
c3x29nn,5.139
c3x24q7,3.887
c3x0kuz,3.669
c3rrbvd,4.383
c3x29kg,3.176
c3x0zdu,4.293
c3rpys8,4.291
c3x0zqj,3.543
c3x2977,3.574
c3x2c2k,3.347
c3x2fgh,5.222
c3x212y,4.52
c3x29k4,6.454
c3x23q8,5.954
c3x0wp9,5.498
c3x2dfe,7.904
c3x2942,5.717
c3x0jkb,2.732
c3x22yw,3.989
c3x29ve,5.285
c3x22sm,4.644
c3x27jy,6.943
c3x0qr3,5.335
c3x28u8,4.761
c3x0wzf,3.911
c3rrcmq,4.139
c3x29nf,4.733
c3x2hrb,8.278
c3x3582,2.965
c3x26tx,3.757
c3x21ft,3.345
c3rpzer,6.755
c3x0wdg,3.855
c3x2953,5.28
c3rpyf6,3.35
c3x2hr0,5.51
c3x0q5t,5.835
c3x29np,5.878
c3rrceh,3.117
c3x0tfy,3.025
c3x0jr3,5.803
c3x0y8w,7.247
c3x0w4q,6.513
c3x294b,4.748
c3x2364,3.285
c3x262f,5.973
c3x2f21,4.062
c3rrct8,3.378
c3x29hm,4.097
c3x316c,2.99
c3x31jp,2.515
c3x28db,5.088
c3x0m6r,5.062
c3x2gh7,3.598
c3x212w,3.71
c3x294k,5.937
