geohash,avgtimetopark
cbfgtnc,4.247
cbfgmes,8.586
cbfghjy,5.753
cbfggyz,3.6
cbfgv21,4.833
cbfgz5m,5.936
cbfgzne,3.919
cbfgx1n,3.878
cbfgqtj,11.425
cbfguhe,6.419
cbfuhb7,6.322
cbfgf81,3.239
cbfuj17,4.367
cbfgknc,4.622
cbfgjp7,6.731
cbfgsu9,3.286
cbfgttn,3.794
cbfgtq3,3.9
cbfgker,4.844
cbfgvkg,4.45
cbfgqqm,4.633
cbfgujq,5.922
cbfgu5v,6.431
cbfgkjm,4.628
cbfg5zv,4.519
cbfgf3g,3.8
cbfun5d,5.014
cbfgu65,3.011
cbfgtnx,3.947
cbfgcbv,4.05
cbfuhx5,4.628
cbfu5yp,7.292
cbfgtdp,6.686
cbfupn7,3.847
cbfgt5p,4.956
cbfggeg,3.644
cbfgyc3,6.692
cbfuhhz,3.181
cbfgfge,4.778
cbfgu9r,6.056
cbfgw86,5.614
cbfgvwy,5.469
cbfgv96,4.022
cbfgv54,5.883
cbfu5sm,3.433
cbfgy7u,6.703
cbfgv2r,5.742
cbfupn6,2.842
cbfgy9u,6.156
cbfgtjd,3.686
cbfuh69,4.389
cbfgy0c,5.108
cbfujx0,2.925
cbfgx8h,7.089
cbfgvku,3.783
cbfuj2k,4.761
cbfgm3k,1.572
cbfgvtm,4.522
cbfun10,2.981
cbg5be4,4.658
cbfgv30,7.744
cbfgubu,3.236
cbfgcch,3.811
cbfgqqp,7.739
cbfgw23,4.756
cbfgu48,4.886
cbfgw85,2.567
cbfgu44,5.519
cbfgt22,6.544
cbfgxnf,4.269
cbfgzjq,5.719
cbfgvbu,7.542
cbfgzhx,4.508
cbfgvss,6.244
cbfgtny,5.831
cbfuh6b,4.194
cbfguxh,2.275
cbfgvjn,4.267
cbfgy00,3.431
cbfunww,3.883
cbfgteb,3.517
cbfupuh,1.747
cbfu5w2,9.581
cbg5b4m,5.506
cbfgtpj,5.222
cbfgv16,6.578
cbfgzm8,5.783
cbfgjpv,4.644
cbfgtmj,5.758
cbfgz7q,3.567
cbfuh6c,6.031
cbfgf0w,3.572
cbfgkjd,4.169
cbfunud,4.7
