geohash,avgtimetopark
dxfy097,5.006
dxfy0ce,4.583
dxfwp6w,3.172
dxfy062,4.131
dxfvb6k,5.256
dxfwr1r,2.911
dxfy5hp,5.453
dxfy361,3.139
dxfvcmb,4.925
dxfy04n,4.453
dxfwxhc,4.108
dxfy4ej,3.1
dxfwr57,4.439
dxfwr58,4.203
dxfy0bk,4.914
dxfy0yw,5.678
dxfvb83,3.156
dxfy0dr,5.486
dxfy01f,2.044
dxfy0ym,4.741
dxfy2c7,6.729
dxfy329,6.662
dxfwq8t,3.75
dxfy0c6,4.179
dxfy0cw,5.186
dxfwpng,2.305
dxfy351,6.329
dxfy0dw,3.367
dxfy0ed,5.257
dxfy026,4.238
dxfvczy,4.745
dxfwqgt,6.671
dxfy01m,3.186
dxfy010,5.476
dxfy4h5,3.798
dxfvcmv,3.283
dxfy0cr,5.729
dxfy2gu,4.674
dxfy35u,3.483
dxfwq4n,4.56
dxfy4jv,3.826
dxfvb36,7.331
dxfvbvm,5.512
dxfvcje,3.51
dxfvcph,6.745
dxfy2cv,5.819
dxfy1bj,4.055
dxfy1ve,4.238
dxfy0cq,6.457
dxfwp0b,5.169
dxfy1cv,5.386
dxfvgf2,2.233
dxfy4t8,3.36
dxfwqc1,5.495
dxfwyb5,6.895
dxfy068,5.662
dxgx8cz,8.295
dxfy1ez,4.183
dxfwwth,3.452
dxfwp1t,4.533
dxfvby4,4.35
dxfwqce,3.929
dxfy1ws,6.412
dxfy07h,5.576
dxfvg2y,1.524
dxfy02v,4.541
dxfy296,4.119
dxfvbxd,4.305
dxfwp8v,3.721
dxfy2ft,4.257
dxfy0f8,4.591
dxfvbve,5.546
dxfvcjy,3.574
dxfvbzs,6.752
dxfy61k,4.967
dxfy43h,3.721
dxfy1x7,3.312
dxfwp0z,2.005
dxfy1wu,5.643
dxfy4mx,3.443
dxfy538,2.238
dxfvbxr,4.345
dxfy09j,7.588
dxfy09s,4.131
dxfybqy,6.133
dxfwwrx,5.319
dxfy09r,4.488
dxfy436,4.31
dxfy47f,3.391
dxfwquf,5.676
dxftynb,5.057
dxfwmtc,2.177
dxfwp7c,5.585
dxfvg1e,5.023
dxfy1cs,5.308
dxfy0f9,3.773
dxfvbx8,3.404
dxfy08n,3.81
dxfwxps,5.079
dxfy1jj,3.767
dxfy1nq,3.375
dxfvcnh,4.306
dxfy01c,3.363
dxfwqg7,3.998
dxfwp13,5.738
dxfy1ww,2.904
dxfwp83,5.398
dxfy1wf,6.394
dxfvcmu,4.379
dxfvcjv,2.952
dxfy844,3.229
dxfy01h,4.177
dxfwwrz,5.181
dxfvcq0,5.892
dxfvb82,5.24
dxfvcjz,4.927
dxfy2ey,5.335
dxfy29e,4.908
dxfy11h,5.272
dxfvcrq,5.592
dxfy066,5.213
dxfvb74,3.433
dxfwx6c,1.254
dxfvb88,5.817
dxfwpct,4.358
dxfy52r,3.973
dxfy1bq,5.167
dxfvbvn,2.842
dxfvbz7,6.733
dxfy2em,4.727
dxfy2bt,3.742
dxfy1e3,4.948
dxfy1hg,3.163
dxfy4n2,3.113
dxfy4nq,8.342
dxfy0s6,2.096
dxfy4kn,6.679
dxftzpd,4.113
dxfy706,3.558
dxfwq3w,3.613
dxftzp9,2.878
dxfy12h,5.646
dxfy35k,4.217
dxfy11e,3.969
dxfy61b,3.565
dxfy0wm,5.457
dxftzp3,1.919
dxfy0qw,6
dxfwp00,4.994
dxfwww7,3.32
dxfvbr3,5.606
dxfy2ew,4.576
dxfy56e,2.63
dxfy1cq,4.304
dxfvcqs,4.661
dxfwwwu,4.102
dxfvcqk,4.709
dxfwpm0,4.048
dxfy2cb,4.596
dxfy31q,3.054
dxfybw8,5.243
dxfy4k0,3.35
dxfy0uw,2.537
dxfy35h,2.552
dxfvb37,5.893
dxfwx7g,7.143
dxfwrrj,6.183
dxfwncj,4.1
dxfy4hj,3.672
dxfvcms,4.385
dxfwpf3,4.391
dxfvg1q,5.957
dxfy1by,3.976
dxfy2dj,5.839
dxfvbrw,3.376
dxfvbmf,4.254
dxfwpcx,4.565
dxfy4gg,3.367
dxfwwx5,2.655
dxfy15m,5.045
dxfy1je,5.255
dxfy1hp,4.42
dxfy09m,3.545
dxfy29h,6.597
dxfy018,7.523
dxfy10e,5.87
dxfwwx4,5.43
dxfy2d3,4.745
dxfwq7x,5.745
dxfy0cx,3.275
dxfy129,3.252
dxfy31d,4.598
