geohash,avgtimetopark
dpxjyfe,2.644
dpxmbr9,1.575
dpxnhd2,3.044
dpxnj8t,4.189
dpxq033,4.003
dpxntby,4.164
dpxnner,4.908
dpxnn7t,3.753
dpxnj81,4.189
dpxnp0z,3.808
dpxq0cf,3.794
dpxnmxf,1.914
dpxnjeg,2.747
dpxjzuk,3.194
dpxjzsd,4.789
dpxmg9c,1.494
dpxmf5s,3.344
dpxjvyj,2.842
dpxnhss,2.417
dpxnjgt,5.919
dpxjyby,2.456
dpxjt1r,4.064
dpxjytf,2.408
dpxmfhs,2.764
dpxjvfg,2.386
dpxmbh8,4.314
dpxjzp8,3.328
dpxnn4m,3.553
dpxmft6,3.186
dpxjv7w,4.5
dpxq0td,7.853
dpxnj61,2.125
dpxjyzx,3.286
dpxnn7e,2.583
dpxnj4k,2.961
dpxnp26,3.269
dpxjxnz,2.611
dpxjtvc,1.669
dpxnj18,3.603
dpxjywf,2.314
dpxnn3q,5.061
dpxnn7g,6.139
dpxntbr,3.161
dpxnn4q,4.289
dpxnjg9,3.075
dpxjwyc,2.986
dpxnp4r,1.258
dpxnns0,3.822
dpxnjg0,3.444
dpxnpbg,1.703
dpxmbjg,3.8
dpxnp32,2.1
dpxnhbg,3.803
dpxnnuj,6.444
dpxmcx2,2.411
drb6mv3,2.867
dpxmbv8,6.006
dpxjwz1,5.486
dpxjwry,5.497
dpxjzzp,2.281
dpxnp02,2.753
dpxjvvf,2.181
dpxmbk6,2.461
dpxjt3s,6.561
dpxjz6x,5.681
dpxm8ww,3.981
dpxjdyb,2.906
dpxjzs8,2.078
dpxjxx3,2.658
dpxjwjv,3.3
dpxjyzy,2.581
dpxnn5h,4.661
dpxnt9n,7.495
dpxmc5h,3.157
dpxnp2z,3.864
dpxmbwm,2.983
dpxnj4n,2.648
dpxm8sg,2.564
dpxmbe8,2.226
dpxjv7s,3.455
dpxjy61,3.469
dpxjzdd,1.5
dpxjggv,2.262
dpxnj6r,5.793
dpxntbe,3.531
dpxnnby,3.648
dpxmcw5,2.681
dpxjvz7,4.764
dpxjgsr,2.845
dpxjuyn,6.512
