geohash,avgtimetopark
dpz827m,5.547
dpz8dj5,3.234
dpz8fns,2.304
dpz2zr1,6.295
dpz2re8,4.268
dpz831n,6.406
dpz9hss,3.228
dpz837q,5.665
dpz2zr4,7.003
dpz836z,5.18
dpz839z,6.274
dpz8335,5.253
dpz2jev,4.681
dpz8fyk,4.131
dpz894x,4.49
dpz832x,3.715
dpz81rb,5.755
dpz2t1n,3.404
dpz8czf,4.618
dpz890z,4.858
dpz8337,6.673
dpz832d,6.228
dpz83tu,6.924
dpz865t,4.851
dpz831s,6.383
dpz8399,5.558
dpz2jes,4.233
dpz95wt,4.878
dpz83e4,4.013
dpz83d1,4.942
dpz8398,5.266
dpz8ypc,5.35
dpz837u,5.94
dpz828v,4.882
dpz837m,7.683
dpz83j6,4.518
dpz2sgm,4.562
dpz8392,5.398
dpz9jym,4.452
dpz2z80,6.51
dpz83f3,5.893
dpz86e7,4.048
dpz83d3,6.274
dpz83y4,6.574
dpz839f,6.65
dpz9h17,4.664
dpz8byr,5.56
dpz839u,6.049
dpz8327,5.545
dpz827j,4.781
dpz83eq,5.803
dpz87w9,3.325
dpz833q,6.382
dpz8396,6.19
dpz9h2x,4.274
dpz83mv,6.734
dpz83dr,4.966
dpz86g6,2.943
dpz83vc,4.918
dpz86gd,4.033
dpz864y,5.144
dpz2tt2,5.991
dpz86eh,4.4
dpz86uk,4.957
dpz83wn,6.1
dpz83m9,5.801
dpz8ds9,3.229
dpz8935,5.298
dpz833v,5.231
dpz828q,3.783
dpz2rtc,5.959
dpz864w,4.753
dpz83h8,3.073
dpz82z0,5.692
dpz2t1q,6.86
dpz89hy,7.574
dpz83dk,6.469
dpz837s,7.042
dpz2nnj,5.642
dpz83c8,5.936
dpz83cc,6.197
dpz2rxc,6.41
dpz82yt,5.607
dpz2ym5,4.172
dpz2w9z,1.778
dpz9h31,4.193
dpz83ee,6.272
dpz86dz,3.676
dpz82yg,5.042
dpz9hv3,3.99
dpz80rm,4.941
dpz86nu,5.05
dpz83qw,5.265
dpz81py,5.936
dpz83mc,6.471
dpz83c9,4.995
dpz83mx,6.7
dpz839c,6.997
dpz8b1j,5.455
dpz83j7,5.387
dpz83t4,4.649
dpz83wp,6.501
dpz8206,5.019
dpz8b11,5.807
dpz894z,4.474
dpz89tm,5.542
dpz8217,3.705
dpz820s,4.353
dpz82wz,3.179
dpz9hvs,5.88
dpz83e2,5.143
dpz95bu,6.332
dpz837v,5.691
dpz2zx2,3.171
dpz883e,2.904
dpz82b6,4.72
dpz2wct,4.019
dpz2pnm,5.231
dpz833h,6.184
dpz83e1,5.041
dpz8937,6.986
dpz892u,5.09
dpz890y,6.683
dpz2rx2,3.02
dpz2q30,2.859
dpz83vf,5.083
dpz2mxh,2.342
dpz8gwe,6.083
dpz91w3,3.403
dpz8ugj,4.27
dpz825p,8.047
dpz82by,4.177
dpz913u,4.96
dpz2vh0,6.983
dpz88sg,6.41
dpz882g,7.237
dpz8bj1,4.693
dpz8vjd,7.043
dpz8gmp,5.31
dpz9jq6,2.913
dpz8374,6.793
dpz2m64,3.92
dpz83hz,5.233
dpz94cc,2.88
dpz3p3e,3.727
dpz2jeu,4.747
dpz82tk,5.463
dpz83ww,4.99
dpz2vb9,6.23
dpz86ny,5.813
dpz8cxz,4.46
dpz946b,4.36
dpz87he,3.6
dpz8u3s,3.923
dpz2u7k,4.143
dpz8350,6.433
dpz8vs7,5.067
dpz8345,6.477
dpz91k5,5.263
dpz8ert,5.39
dpz8vz7,5.547
dpz82j0,5.733
dpz8ssu,3.653
dpz2sdr,8.97
dpz880v,4.487
dpz892h,5.787
dpz83g4,7.113
dpz8vjz,6.517
dpz86uv,4.77
dpz8cxu,5.793
dpz83up,7.027
dpz83jm,6.273
dpz2z9f,8.883
dpz8bdu,4.237
dpz8gq0,4.04
dpz8e4g,2.907
dpz8upy,3.73
dpz880x,4.927
dpz87jg,3.58
dpz892d,4.7
dpz8fd1,6.707
dpz2wc7,4.373
dpz9jr8,4.69
dpz89re,3.577
dpz9jnk,2.163
dpz8epn,3.847
dpz826j,4.857
dpz89x3,3.337
dpz2x9m,5.163
dpz8u9c,4.827
dpz87hw,5.417
dpz87m2,3.57
dpz8gw4,4.873
dpz2vzv,6.677
dpz895z,6.977
dpz2r3y,3.593
dpz2q38,3.757
dpz8fru,6.123
dpz894r,6.653
dpz2q1z,6.997
dpz9jq3,5.433
dpz9680,4.534
dpz83ps,6.3
dpz9huh,4.653
dpz9470,5.897
dpz2zrw,8.003
dpz87hp,5.34
dpz2xtr,6.72
dpz83q0,6.82
dpz2nq1,5.207
dpz8g4c,5.09
dpz8273,4.793
dpz83cz,7.087
dpz8bgh,3.553
dpz2t17,5.203
dpz8286,5.243
dpz9jhr,3.62
dpz2n7x,6.917
dpz94s5,7.47
dpz9hcv,5.773
dpz8g4k,5.13
dpz866j,6.493
dpz2qf0,4.623
dpz8b2t,7.01
dpz8s5g,3.543
dpz9hey,5.17
dpz2rsg,5.29
dpz8c1s,4.177
dpz2zc4,6.773
dpz2tdz,3.68
dpz2nyh,7.21
dpz2p1d,4.13
dpz82fg,6.67
dpz8g4v,4.823
dpz95d7,6.287
dpz2tr1,4.417
dpxryr2,1.577
dpz8gc4,4.533
dpz2r7p,2.84
dpz83d9,7.697
dpz2nq4,5.493
dpz9nqv,4.233
dpz2mz3,3.837
dpz8b65,4.513
dpz86ry,4.827
dpz2sb5,4.067
dpz8ehv,3.617
dpz901f,3.61
dpz2rp8,6.14
dpz2q9g,4.337
dpz8dy9,6.027
dpz8619,6.44
dpz2x9u,5.653
dpz9hcn,6.133
dpz2ws0,7.54
dpz2tfu,5.547
dpz9h7r,6.117
dpz8u0u,8.043
dpz88ep,8.003
dpz82k5,5.767
dpz2vzk,5.873
dpz8g69,3.843
dpz8shq,3.93
dpz2w26,6.037
dpz8d3m,2.93
dpz2rmc,3.477
dpz2t2n,3.53
dpz88un,7.383
dpz2wt0,2.923
dpz2vdw,4.537
dpz8c9j,4.783
dpz86hf,5.58
dpz9h5q,6.737
dpz8etv,4.147
dpz2m6e,4.453
dpz829r,6.327
dpz8u3k,5.508
dpz8exx,4.643
dpz2v9c,2.947
dpz2ztp,4.027
dpz9j9v,4.14
dpz87tv,4.443
dpz8b7y,4.053
dpz948m,3.477
dpz95tf,6.327
dpz2rj0,5.737
dpz8vg3,3.37
dpz2yzy,5.177
dpz2nkj,7.903
dpz2wnm,3.723
dpz2z2t,4.833
dpz82sx,6.043
dpz83ks,6.083
dpz2sbb,6.477
dpz8sye,5.42
dpz8b9n,4.607
dpz2wc6,3.503
dpz83kf,8.59
dpz8v67,5.28
dpz2pn7,3.497
dpz2ydm,3.227
dpz8sqk,5.123
dpz8b4z,4.347
dpz8ff6,5.593
dpz9512,7.67
dpz889p,4.907
dpz2w1z,3.5
dpz2x43,6.027
dpz2n7z,5.143
dpz2xzm,4.113
dpz8bbd,3.413
dpz2kzk,5.047
dpz2rk5,4.6
dpz95f8,7.103
dpz2jej,6.503
dpz2wcw,6.863
dpz82fn,7.603
dpz8d20,4.813
dpz8dcd,4.303
dpz94b3,4.547
dpz8b3n,7.457
dpz82d1,4.36
dpz2teb,3.092
dpz88bv,9.01
dpz2ztq,3.917
dpz2jfb,4.1
dpz2w7q,4.447
dpz895e,7.117
dpz8dd0,6.38
dpz8u0p,3.02
dpz8u75,3.563
dpz86rk,8.023
dpz83vm,4.36
dpz8bdr,5.853
dpz2z3y,5.847
dpz82j7,4.953
dpz2xsc,5.147
dpz2swg,6.913
dpz8276,7.393
dpz82my,6.03
dpz2pr7,7.68
dpz2wcs,5.07
dpz2nsw,8.27
dpz2r7m,5.447
dpz822z,6.497
dpz88sp,6.217
dpz83p6,3.827
dpz8fwn,4.63
dpz2rxy,4.137
dpz86rp,4.47
dpz8839,3.38
dpz8up1,6.623
dpz3pdb,4.8
dpz9hrw,4.177
dpz8283,4.723
dpz2xuy,4.357
dpz2v21,5.22
dpz9kch,6.337
dpz8br8,3.787
dpz86mc,4.927
dpz890g,5.487
dpz2z2r,4.173
dpz9jgw,8.177
dpz8252,4.737
dpz2xp8,6.21
dpz2q9f,4.57
dpz2ppv,6.413
dpz968w,2.98
dpz827z,3.717
dpz2r64,5.18
dpz8fwv,5.397
dpz2xrk,5.83
dpz9n5k,2.556
dpz2ys9,4.57
dpz2xmn,6.953
dpz892q,4.73
dpz894s,5.463
dpz890q,5.42
dpz2wqg,5.24
dpz82ww,6.217
dpz8gvb,3.643
dpz82ux,5.467
dpz82dw,4.49
dpz8e90,4.6
dpz9q30,4.587
dpz86v7,4.273
dpz8se6,4.75
dpz2yww,5.243
dpz81pm,4.69
dpz9hz2,5.183
dpz8bz7,7.18
dpz2rju,7.233
dpz9jqf,5.313
dpz2yed,4.65
dpz9j09,5.62
dpz94zu,7.95
dpz2n22,2.397
dpz87ys,6.347
dpz86r7,6.647
dpz8dzf,6.877
dpz2v6j,3.673
dpz2ruf,5.293
dpz8ss6,4.523
dpz2jx8,7.413
dpz86ts,4.517
dpz8vnw,6.257
dpz94cd,3.78
dpz95m5,4.707
dpz9h25,7.557
dpz8s47,5.207
dpz2tj9,6.223
dpz8b3q,5.503
dpz946p,3.707
dpz2xv9,6.42
dpz2xf1,4.183
dpz2ncx,4.99
dpz9hc5,6.097
dpz2tnt,5.027
dpz8253,5.783
dpz8b8j,6.99
dpz8e2q,4.867
dpz83v4,6.543
dpz2xyf,4.223
dpz8982,5.42
dpz2sbu,2.653
dpz94k6,5.48
dpxrypp,4.223
dpz2pj6,3.37
dpz9515,6.86
dpz8v6s,2.38
dpz2xy8,7.107
dpz90ch,4.43
dpz9jgj,7.2
dpz2rub,4.993
dpz951e,5.55
dpz2vwh,5.58
dpz83c2,5.117
dpz2tpp,2.663
dpz2rx8,4.753
dpz8sxr,4.477
dpz868c,5.903
dpz89h4,3.947
dpz2vu6,8.537
dpz87we,3.633
dpz894u,3.463
dpz2pxf,7.47
dpz9h87,6.903
dpz9k2j,2.377
dpz8fqd,4.033
dpz8bzd,6.9
dpz87w0,5.22
dpz8uvs,4.807
dpz8gb0,8.633
dpz95wx,3.287
dpz95w2,2.67
dpz88nj,5.45
dpz917k,5.89
dpz821w,5.107
dpz87z0,7.897
dpz2rfp,4.943
dpz2ys3,6.83
dpz8dfd,4.983
dpz2rsw,5.12
dpz9j9g,5.453
dpz8655,5.437
dpz82hj,6.613
dpz9h9u,8.833
dpz3n80,4.073
dpz8fwr,4.22
dpz972u,8.253
dpz8c16,3.74
dpz2w87,4.433
dpz2sbz,3.597
dpz88vt,5.783
dpz2kzh,2.983
dpz2m6r,6.907
dpz88bf,3.913
dpz8g8m,6.5
dpz9jhz,3.293
dpz86nx,3.38
dpz87yu,4.177
dpz9jq4,5.08
dpz2jny,3.637
dpz2v52,4.987
dpz2xcc,5.71
dpz2jfe,5.087
dpz82ym,5.547
dpz8exp,3.373
dpz8shn,3.853
dpz2x8h,6.997
dpz86kj,4.703
dpz8fmk,6.713
dpz87ju,4.673
dpz8djz,5.513
dpz8ds0,5.497
dpz8cw1,3.32
dpz2n2t,5.773
dpz2rfg,6.35
dpz901d,4.3
dpz8235,6.843
dpz8ef2,5.007
dpz2whr,4.057
dpz8vk8,8.247
dpz82z9,8.237
dpz83u7,8.347
dpz82yh,4.987
dpz8c0n,4.3
dpz2yd2,6.663
dpz2kdv,2.03
dpz86tr,5.067
dpz2jbx,8.837
dpz8ftp,7.953
dpz95c7,3.803
dpz90cy,5.503
dpz839q,7.13
dpz8248,6.653
dpz956h,5.267
dpz86v9,5.61
dpz86ks,7.867
dpz8658,5.123
dpz80xg,5.453
dpz2qjd,4.38
dpz89vf,2.8
dpz2s9x,4.077
dpz88ej,5.703
dpz887f,5.157
dpz9h04,8.39
dpz2x8b,3.033
dpz82tx,5.173
dpz2jxg,7.877
dpz87n1,4.47
dpz890f,4.92
dpz8873,4
dpz2nv8,6.61
dpz83ub,3.227
dpz83y8,7.293
dpz2m67,5.217
dpz2znj,7.4
dpz2rsy,4.627
dpz8erm,2.867
dpz865v,6.173
dpz2tsb,4.13
dpz2rvu,5.603
dpz8d2u,5.17
dpz2z5x,4.553
dpz899c,6.013
dpz86xv,3.937
dpz8vzp,4.543
dpz9hue,4.65
dpz8u0c,7.15
dpz2yzf,5.027
dpz90sg,6.1
dpz86ug,5.877
dpz82pg,3.467
dpz948c,5.377
dpz8d87,3.55
dpz82fx,6.327
dpz82u3,4.73
dpz95b6,4.573
dpz8uv2,3.67
dpz8vy1,5.757
dpz86mf,5.737
dpz9j4g,6.39
dpz823v,7.333
dpz2npq,4.877
dpz865s,5.26
dpz2tjc,6.767
dpz9j11,4.537
dpz8e9k,5.22
dpz8323,5.683
dpz86k1,4.787
dpz888r,4.86
dpz8d2n,4.96
dpz9n86,3.68
dpz8ss4,4.427
dpz2s7x,4.377
dpz9h86,5.217
dpz87xy,5.05
dpz8d8m,4.09
dpz94b6,3.64
dpz8g75,4.32
dpz2jxb,5.097
dpz2nkn,5.863
dpz887r,5.09
dpz2vyt,3.397
dpz2tcq,3.2
dpz95z6,4.907
dpz2v4c,6.237
dpz2vs6,4.21
dpz2vb6,4.58
dpz2npw,3.71
dpz2pmu,6.48
dpz885d,3.46
dpz2zxm,7.68
dpz2y8q,6.17
dpz94cj,3.967
dpz82nx,6.147
dpz8bfk,3.98
dpz2n3j,3.177
dpz8b3r,2.787
dpz86v6,5.46
dpz83uy,8.683
dpz86h8,4.44
dpz89sw,3.64
dpz2pnu,4.453
dpz973w,5.897
dpz82gs,4.223
dpz8s42,3.64
dpz2ywb,6.167
dpz943f,4.177
dpz86qe,4.63
dpz86pk,4.713
dpz2nke,3.47
dpz8exb,3.6
dpz8fzz,4.653
dpz86q1,6.27
dpz2mbr,4.097
dpz2tkb,5.65
dpz94cw,5.807
dpz89q4,3.757
dpz9jdj,8.893
dpz2nt3,3.34
dpz89xb,6.24
dpz9heb,6.557
dpz83u6,3.433
dpz2y1x,6.003
dpz2z5s,5.963
dpz2nt2,3.877
dpz89tp,6.17
dpz880s,6.033
dpz2p5t,5.21
dpz8vqv,5.07
dpz2jnz,4.303
dpz2vzq,5.693
dpz8ey5,4.063
dpz2nu0,3.347
dpz8954,5.743
dpz82hf,4.01
dpz9nnu,3.653
dpz8ghv,6.317
dpz9kcj,4.243
dpz8644,6.46
dpz2xpz,6.653
dpz8c5b,8.41
dpz82sd,6.29
dpz9hk6,3.82
dpz2msd,2.283
dpz825e,5.397
dpz2jc7,4.13
dpz89fs,4.02
dpz82f4,6.5
dpz86rn,4
dpz81pc,3.797
dpz2pkb,4.423
dpz8d93,5.583
dpz88bu,7.737
dpz8d7z,4.28
dpz89e8,4.713
dpz882d,4.59
dpz867q,7.91
dpz81r2,6.88
dpz2zjj,5.37
dpz83kg,9.35
dpz8gzq,5.717
dpz8vjc,6.303
dpxrypg,2.64
dpz9h3q,6.39
dpz888d,4.243
dpz2wqs,4.233
dpz8d2c,7.539
dpz2ntt,2.942
dpz86u8,5.111
dpz8848,4.983
dpz83e5,6.286
dpz2pje,5.803
dpz9152,3.725
dpz88w9,7.925
dpz2rds,7.222
dpz2wrw,6.467
dpz826b,6.422
dpz2zmw,5.464
dpz2u2y,5.3
dpz9h1b,5.431
dpz82hw,5.994
dpz83q2,4.364
dpz8eyd,6.714
dpz83sp,7.767
dpz8uts,5.536
dpz9h49,6.631
dpz90su,4.3
dpz2yt2,5.892
dpz86uy,7.228
dpz86k0,8.608
dpz9juh,4.119
dpz2r6w,6.539
dpz2t33,4.8
dpz8ebj,4.228
dpz9hcm,4.622
dpz826p,6.131
dpz95bw,5.742
dpz82ru,5.761
dpz863u,7.483
dpz82dn,4.797
dpz2ngb,5.114
dpz2x44,5.772
dpz2pqr,9.289
dpz2we2,5.292
dpz9k1d,3.303
dpz2rfb,3.286
dpz825r,6.136
dpz83gy,7.006
dpz8ews,7.033
dpz90gd,3.208
dpz94bu,5.117
dpz2wz7,6.408
dpz9p7r,3.919
dpz87m7,4.914
dpz822n,4.789
dpz8eb1,4.425
dpz88zh,4.464
dpz9185,5.114
dpz893c,4.581
dpz83ng,5.133
dpz827u,5.936
dpz2wq3,7.725
dpz826m,4.592
dpz8exc,6.072
dpz87zd,7.194
dpz3n8w,5.075
dpz82p7,6.511
dpz8e2v,6.597
dpz8uku,3.036
dpz2ztw,5.394
dpz86x9,5.556
dpz2qp3,5.242
dpz2wwc,7.878
dpz9jdu,5.653
dpz8g88,4.697
dpz9hqc,3.808
dpz2wu4,6.483
dpz8swm,3.611
dpz2ugg,1.731
dpz89kn,4.117
dpz86u6,7.258
dpz884x,6.467
dpz2zwm,5.044
dpz8e4q,4.194
dpz9k91,2.531
dpz3pd8,5.853
dpz8f6j,5.086
dpz2q63,6.081
dpz82sh,5.789
dpz8vzz,2.117
dpz2jcm,4.897
dpz8u9u,4.922
dpz2kzp,4.606
dpz9h7j,2.378
dpz9117,5.608
dpz950t,2.75
dpz2pjg,3.267
dpz822j,7.967
dpz8e30,6.294
dpz2q7w,7.55
dpz8e51,3.461
dpz82p5,8.744
dpz8byu,4.606
dpz82sw,4.433
dpz2t7p,4.861
dpz91b4,3.725
dpz80xy,5.692
dpz9jve,3.639
dpz2jbv,2.789
dpz87nv,3.189
dpz2rvy,6.303
dpz882c,5.906
dpz87ts,4.483
dpz891n,5.769
dpz8utm,6.322
dpz95j2,4.778
dpz8v7x,5.228
dpz3pd0,3.853
dpz8c15,6.414
dpz820f,3.631
dpz82zr,5.478
dpz87wq,4.25
dpz2z36,3.15
dpz2xbg,2.608
