geohash,avgtimetopark
c2b2m3x,4.637
c28ryyn,2.87
c2b2k23,2.807
c2b2pnt,1.51
c2b2psd,3.83
c2b2kch,4.47
c2b2nr7,4.123
c2b2pc7,1.803
c2b2r2t,4.053
c2b2nqy,5.307
c2b2njv,3.62
c2b2m1t,3.603
c2b2nqp,2.953
c28rzqw,4.027
c2b2ny1,3.797
c2b2pwz,4.81
c2b2he5,2.743
c2b2jpp,3.203
c28rywg,5.253
c2b8234,3.117
c2b2pex,2.29
c2b2jjb,4.45
c28ryre,3.067
c2b2pw5,4.973
c2b2pew,2.397
c2b2m06,3.423
c2b80q4,3.237
c2b2nrr,4.123
c2b2reh,4.01
c2b2r0j,2.219
c2b2m3j,3.192
c2b2r9s,3.65
c2b2jx8,4.244
c2b2m31,3.883
c28rvym,3.903
c2b827m,4.314
c2b2nuc,4.689
c2b2jvv,1.558
c2b80d2,3.375
c2b2nps,4.614
c2b2nz8,4.703
c28rzvz,3.811
c2b2nzp,4.975
c2b2rd8,3.444
c2b2q0d,6.572
c2b2r20,3.444
c2b2p96,4.344
c28rynd,4.583
c2b2nqj,4.756
c2b2p02,4.769
c2b2njs,3.108
c2b2jjk,1.653
c2b2r03,3.108
c2b2m0r,4.156
c2b2m0x,4.711
c2b2j9c,3.856
c2b2prp,3.894
c2b2res,4.392
c2b2mbe,4.836
c2b2hvw,3.783
c2b822t,4.667
c2b2r78,3.294
c2b2rdg,3.269
c2b2nw9,3.025
c2b2kbr,3.85
c2b80p1,4.919
c2b2mfr,4.425
c28rvyu,4.169
c2b2jx1,2.758
c2b2p86,4.119
c2b8235,5.475
c2b2j5b,1.942
c2b2kcf,2.792
c2b2jzw,5.794
c2b2rgk,2.686
c2b2j7q,4.381
c2b2jk9,1.797
c2b2jb3,6.617
c2b2j4d,5.097
c2b2m0p,1.919
c2b2q40,5.897
c2b2m17,3.572
c2b82hh,2.978
c2b2r0s,5.144
c2b2r5x,7.2
c2b2jdc,4.661
c2b2m3k,2.811
c28ryyu,2.344
c2b8211,3.469
c2b2mc2,4.992
c2b2k88,3.158
c2b80kk,2.969
c2b2n3t,3.686
c2b2m2k,2.286
c2b2pz8,4.353
c2b2q2w,5.247
c2b2psm,3.442
c28rvvf,3.519
c2b2q0t,5.186
c2b2qbx,3.997
c2b2nst,2.344
c2b2nht,6.486
c2b2r92,6.914
c2b2nxc,6.681
c2b2pyc,3.222
c28ryyx,4.806
c2b2rv0,2.389
c2b2npr,5.103
c2b2n3p,4.319
c2b2q07,4.014
c28rzqj,2.625
c2b2huf,2.536
c2b805j,5.169
c2b2r7z,2.956
c2b80jj,3.611
c2b2r76,3.389
c2b2m9q,4.698
c2b2j16,2.688
c2b2rd9,3.133
c2b2nr4,3.702
c28rvtv,2.071
c2b2q1g,6.074
c2b8250,2.869
c2b2kbk,2.748
c2b2nvy,3.702
c2b2jd2,2.643
c2b2jt6,3.271
c2b2n4v,3.979
c2b80rj,6.162
c28ryj6,3.114
c2b2hmr,2.633
c2b2r7d,5.081
c2b2nk5,2.231
c28rvwh,2.007
c2b2mce,2.655
c2b2nmv,3.748
c2b2jsc,3.964
c2b2jxw,5.071
c2b2j49,2.541
c28rvv8,2.376
c2b2qd0,5.976
c2b80p0,4.664
c2b2jx9,3.541
c2b2nyz,3.024
c28rywu,5.157
c2b2pyd,3.967
c2b2j2g,3.652
c2b2prg,4.069
c2b80r4,5.531
c2b2juj,4.793
c2b2nv9,3.952
c2b2j6t,3.967
c28ryyv,2.138
c2b2qd8,3.75
c2b2m8t,5.171
c2b2n60,2.555
c2b2nsk,4.298
c2b2p00,1.948
c2b2pgf,3.995
c28ryj1,3.845
c2b2kb7,4.233
c2b2ped,3.469
c2b2nrs,4.955
c2b2npx,6.157
c28rywx,9.705
c2b827j,3.495
c2b2pnd,3.269
c2b2jz8,3.719
c2b2m2b,2.962
c2b2k0n,4.371
c2b2jt1,3.771
c2b2nrq,3.719
c28xbqy,2.5
c2b2npd,5.429
c2b82d8,2.638
c2b2rgq,3.302
c2b2r7y,4.638
c2b2hv6,5.255
c2b2j4f,4.755
c2b2q3y,6.91
c2b2r3g,3.083
c2b8233,2.114
c2b2r7r,3.614
c28ryy8,3.412
c2b2m2p,6.702
c28rvzt,3.105
c2b2pdf,4.04
c2b2nwt,2.642
c2b2pv3,3.602
c28xbme,5.752
c2b2m11,4.333
c28ryw3,5.85
c2b2rsq,3.808
c2b2mc0,4.519
c2b2md7,3.456
c2b2re3,3.717
c2b2pq3,2.177
c2b80m0,3.792
c2b2k2g,2.117
c2b8214,2.844
c2b2j2u,1.815
c2b2r25,3.292
c2b2re1,2.95
c2b2pj8,4.315
c2b2m30,2.569
c2b2j41,3.09
c2b2nyu,2.746
c2b2rub,4.554
c2b2mby,4.198
c2b806z,4.194
c2b2nn9,2.129
c28rynp,3.442
c2b2rh4,6.848
c2b2nbz,2.752
c2b2n6c,4.975
c2b2jy7,2.365
c2b2m3p,3.771
c2b2r6x,4.415
c2b2ny9,3.404
c2b2j7n,4.592
c2b2q9z,2.94
c2b2pk9,3.4
c2b2nc0,3.01
c2b2r4t,4.742
c2b2m8h,3.406
c28rzpe,2.721
c2b2r0k,4.192
c2b2r82,3.158
c2b2n9h,4.708
c2b2j4e,4.481
c2b2r6p,4.502
c2b2p2b,3.521
c2b2jxs,5.167
c2b2nx4,2.85
c2b2j2x,2.752
c2b8005,3.404
c2b2rg8,3.121
c2b82kh,3.356
c2b2hf8,1.565
c28ryyr,6.135
c28rynh,5.306
c2b2hth,3.058
c2b2qb7,3.006
c2b2psf,2.91
c2b2nr6,2.969
c2b2npf,6.517
c2b820f,2.577
c2b2r6s,5.106
c2b2kbd,5.121
c2b2qb2,6.363
c2b82kg,3.502
c2b2r6w,4.196
c2b2m24,4.908
c2b2pt3,5.898
c2b2rsx,3.385
c28rzvu,3.933
c2b2m3n,3.013
c28ryhb,3.344
c2b2m83,3.885
c2b2m07,5.039
c2b2m8u,4.519
c2b824f,4.513
c2b2nrn,3.922
c2b2jz5,3.457
c2b2p93,4.385
c28ryn4,3.661
c2b2q2e,4.698
c2b2pe8,2.896
c2b2q9d,3.989
c2b2np6,3.222
c2b2qck,2.761
c2b2m00,2.543
c2b2np0,2.743
c2b80jg,4.194
c28rvvp,3.606
c2b2nhz,3.196
c2b2n2v,4.965
c2b2pd6,4.624
c2b2r59,4.504
c2b8071,4.211
c2b2nmw,3.293
c2b2rdf,3.965
c2b824c,3.58
c2b2n4s,3.515
c2b2pzj,3.109
c2b2n5h,3.73
c28ryqs,5.276
c2b2je1,3.306
c2b2p63,3.369
c2b2pxc,4.05
c2b80rt,7.939
c2b2rec,4.524
c28ryvv,6.752
c2b2jwf,4.185
c2b2nz3,3.989
c2b2nv0,3.565
c2b2njr,4.574
c28rzrc,4.911
c2b2reg,3.398
c2b8292,4.408
c2b2n7g,4.915
c2b2r2z,5.777
c2b2qgw,3.805
c28ryrh,4.96
