City,kmpl_HDT,kmpl_MDT,MPG_HDT,MPG_MDT
Edmonton,2.386001720159522,3.4232398566680375,6.74,9.67
Vancouver,2.276259801279781,3.4940410946549667,6.43,9.87
Toronto,2.481583391441876,3.809106603696803,7.01,10.76
