geohash,avgtimetopark
c3ncm7z,6.203
c3nfw43,2.667
c3nfthu,3.886
c3nfw63,5.194
c3nfk58,5.669
c3nfmy7,4.165
c3nfkt3,7.8
c3nfdf4,5.133
c3nfd3w,2.369
c3nf4pc,3.086
c3nfh4n,5.833
c3nfeeh,5.703
c3nfc5q,4.558
c3nfhb1,4.447
c3nf7vn,7.036
c3nfp0f,7.1
c3ncwsw,4.353
c3ncqur,3.35
c3nf8kp,8.161
c3nfp0s,4.635
c3ncx0e,4.05
c3nfqvy,4.697
c3nfh3c,4.506
c3nf7nw,5.244
c3nfk6c,5.728
c3nfq34,2.056
c3nfdd7,5.892
c3nfdpw,5.469
c3ncwvh,2.125
c3ngp1e,2.053
c3nf7vj,5.539
c3nfk5s,6.436
c3nghd1,10.053
c3nfk7d,6.444
c3nctrb,3.994
c3nfd7h,4.986
c3nfkv7,6.15
c3ncm72,4.597
c3nf6gj,5.053
c3nftdf,3.808
c3nfe44,3.622
c3nfkn6,4.203
c3nfdps,3.403
c3nfk7s,4.186
c3ncs66,5.422
c3nfebx,4.225
c3ncujt,5.403
c3nfncf,3.672
c3nfbfb,1.186
c3nfkws,5.581
c3nf7g8,4.839
c3nf4rb,5.072
c3ncgfu,4.725
c3nfd28,4.075
c3nfkwy,2.603
c3nfeb2,4.572
c3nfnf1,3.558
c3nf8yj,6.897
c3nf4vn,3.814
c3nfnfv,5.8
c3nfdp5,4.531
c3ncyb0,6.586
c3nfk3u,5.031
c3ncsdc,3.592
c3nfnv0,2.947
c3nfk5h,6.175
c3ncmr8,3.961
c3nfsrv,6.733
c3ncsnh,6.722
c3nfr37,3.361
c3nfkfh,3.844
c3nf721,6.703
c3ncxb7,4.097
c3ncysx,3.328
c3nftj5,3.003
c3nfksc,7.95
c3nfkw7,4.283
c3nfm5s,3.528
c3nf5dj,6.469
c3nfk5b,5.297
c3nfk7k,6.708
c3nf5ff,5.294
c3nfmv5,8.564
c3nf1x8,3.781
c3ng42d,3.472
c3nf7ex,5.622
c3ncw4d,2.003
c3ngnbx,5.569
c3ncwtg,5.936
c3nfh6f,4.644
c3nfvqy,5.831
c3nfktw,7.292
c3nf2gq,4.031
c3nf60j,4.061
c3nfkrw,5.067
c3nfh7h,5.039
c3nfh7z,4.625
c3nfhce,2.936
c3nfng4,4.711
c3nfdtf,6.294
c3nfdrj,4
c3ncs3y,5.803
c3nf6g1,5.725
c3nf4vs,3.994
c3nfd78,3.586
c3ncy4v,5.842
c3nftjw,4.419
c3ncut8,4.278
c3nf7gn,3.375
c3nfc6s,6.397
c3nfw1j,4.414
c3nfd5n,3.011
c3nfhs9,3.822
c3ncwx3,6.85
c3nfkrt,5.1
c3nf55t,2.919
c3ncqqm,2.111
c3ncs7h,4.525
c3nfupp,7.806
c3nf4wt,2.692
c3ncu54,6.617
c3nghn6,8.025
c3nfhy3,6.097
c3ncu2e,4.067
c3nf8g3,3.258
c3nfkh4,3.856
c3nfmm3,4.392
c3nfj4p,4.344
c3ncvg6,4.136
c3nfhdg,5.703
c3nfqud,3.922
c3nfkvg,4.344
c3nfjyg,5.006
c3ngndj,5.167
c3nft71,3.133
c3nfv1e,6.9
c3nf5n1,4.064
c3nfm75,6.922
c3nf7vv,5.603
c3nffjq,2.842
c3nfhuf,7.056
c3nfm6y,4.775
c3nfc1n,4.456
c3nfkvq,7.686
c3nf4vk,5.839
c3nfqgg,5.311
c3nft6b,4.578
c3ncs61,2.575
c3ncs74,5.067
c3nf7gk,4.117
c3nfty9,2.792
c3ncvg7,4.939
c3ngnf5,5.086
c3nfk5f,7.369
c3ncvxc,4.686
c3ncm71,5.602
c3ncu7f,5.317
c3ng47j,6.017
c3ngn24,6.2
c3nftd0,5.952
c3nft8q,4.388
c3nf5gj,4.274
c3ncwrr,6.671
c3ncgxk,4.938
c3ncy81,4.974
c3nfdfu,10.824
c3nfdd3,4.038
c3ncunw,2.533
c3nfq53,5.893
c3nfkjg,3.838
c3nfucv,3.754
c3nfc1m,2.838
c3ncqk1,4.788
c3nfcpd,3.381
c3nfqmf,5.386
