geohash,avgtimetopark
f246d39,6.443
f2469wp,5.927
f241zd2,2.897
f241uxv,8.587
f2469dp,5.013
f241b8d,3.493
f244hek,3.427
f241brc,7.157
f244jp9,4.827
f2469zf,3.63
f244rrt,7.457
f244hz7,5.73
f2418p8,2.23
f241s0e,8.403
f241s3k,3.13
f244qm1,6.107
f2469g7,3.827
f244mvy,5.1
f244qjt,4.457
f244mus,6.267
f244mdg,6.433
f244m05,7.6
f244qcs,4.34
f244r5x,6.34
f241sh7,2.973
f244h8d,3.767
f244m6h,7.723
f244kdn,4.737
f241yr7,2.407
f244hv0,5.45
f241s3j,4.44
f241d72,2.683
f2445g6,5.63
f241s5u,3.14
f241c4e,5.643
f244nsr,4.613
f21cnrc,7.803
f241kjx,3.86
f241kuc,3.503
f241zg0,7.24
f2467k0,5.683
f244qdy,4.6
f244r7b,5.458
f244hy3,5.475
f241gp9,7.806
f241mw6,4.806
f241uzc,3.414
f246dcf,3.175
f246d2q,4.414
f2419c6,4.219
f244rx4,3.25
f244r45,6.783
f241r41,2.039
f244m8u,5.297
f244qnw,5.753
f244pq4,6.731
f244rj0,3.069
f244n78,5.778
f21cxzx,2.428
f244jey,6.175
f244qrj,7.628
f241vpq,4.928
f241uve,4.125
f241bu5,4.858
f244k85,5.861
f241sfr,4.178
f244q2z,4.394
f2418wf,3.219
f244qe5,5.839
f244jf0,4.144
f244k2x,4.014
f2445yn,4.506
f244rw0,6.933
f244pm7,3.631
f244xfk,4.781
f244nkz,6.131
f21cxbz,6.292
f241zep,3.336
f244m60,4.617
f24180w,4.475
f2469f9,3.55
f244r3p,2.986
f2419nk,5.05
f24450g,6.697
f241b3s,3.575
f244hwy,3.908
f24400m,5.647
f241vje,4.514
f244n2t,7.381
f244jdv,6.297
f241vj9,3.503
f241k72,9.306
f244qqt,4.686
f24180s,2.828
f244q1q,4.983
f244qvn,2.781
f2419ee,3.794
f241btn,4.492
f241ge6,6.664
f244mt2,7.953
f244nf6,2.781
f2469zc,3.325
f24690u,4.836
f244q93,4.228
f241947,6.008
f244qmp,4.161
f241t3b,4.514
f243875,6.181
f241t3p,8.15
f246dvw,4.136
f246d0z,3.267
f244m9q,8.006
f24693j,10.45
f244mye,6.111
f244mmp,5.186
f241vnt,3.917
f244hes,7.653
f244qqu,4.914
f244mec,5.636
f244jyw,3.669
f2419sd,5.725
f244pt2,5.731
f241v45,4.575
f241f68,4.528
f244rtu,5.15
f244mdy,4.875
f244me5,8.853
f244nth,3.467
f241km3,7.044
f244xb2,6.825
f241gmu,4.197
f244jyb,3.658
f244m0v,5.125
f244xcb,7.972
f244mx8,4.667
f246d55,4.953
f244514,4.244
f2418ce,3.044
f244x41,7.844
f244jxg,5.611
f244mv9,7.389
f246d4p,4.028
f241uww,7.744
f246djm,3.183
f244q6c,5.967
f241tsk,1.967
f241czv,6.233
f241zgx,3.917
f244x16,4.456
f244pmx,6.333
f241s3g,4.539
f244hk2,6.778
f2419ns,4.461
f244qqv,4.006
f244qhg,3.725
f24456e,6.853
f241stp,5.111
f241uhc,6.836
f241gmd,8.069
f241s0h,4.761
f241fez,4.019
f244myb,7.261
f2468v4,10.283
f244mvq,5.444
f241gdb,2.192
f244r0h,3.625
f2419pj,1.858
f244nwf,3.956
f244qyj,7.494
f244jk9,3.178
f241bup,3.307
f244m2v,3.417
f244qn7,4.883
f2412sx,2.95
f244wb8,6.575
f244n86,6.803
